filepath,view,subject_id,activity_id,activity_name,frame,activity_id_raw,binary_label
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F1.jpg,side,1,1,safe_driving,1,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F10.jpg,side,1,1,safe_driving,10,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F100.jpg,side,1,1,safe_driving,100,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F101.jpg,side,1,1,safe_driving,101,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F102.jpg,side,1,1,safe_driving,102,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F103.jpg,side,1,1,safe_driving,103,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F104.jpg,side,1,1,safe_driving,104,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F105.jpg,side,1,1,safe_driving,105,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F106.jpg,side,1,1,safe_driving,106,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F107.jpg,side,1,1,safe_driving,107,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F108.jpg,side,1,1,safe_driving,108,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F109.jpg,side,1,1,safe_driving,109,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F11.jpg,side,1,1,safe_driving,11,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F12.jpg,side,1,1,safe_driving,12,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F13.jpg,side,1,1,safe_driving,13,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F14.jpg,side,1,1,safe_driving,14,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F15.jpg,side,1,1,safe_driving,15,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F16.jpg,side,1,1,safe_driving,16,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F17.jpg,side,1,1,safe_driving,17,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F18.jpg,side,1,1,safe_driving,18,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F19.jpg,side,1,1,safe_driving,19,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F2.jpg,side,1,1,safe_driving,2,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F20.jpg,side,1,1,safe_driving,20,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F21.jpg,side,1,1,safe_driving,21,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F22.jpg,side,1,1,safe_driving,22,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F23.jpg,side,1,1,safe_driving,23,1,safe_driving
D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F24.jpg,side,1,1,safe_driving,24,1,safe_driving
