subject_id,activity_id,frame,filepath_front,filepath_side,binary_label
1,1,1,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F1.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F1.jpg,safe_driving
1,1,10,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F10.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F10.jpg,safe_driving
1,1,100,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F100.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F100.jpg,safe_driving
1,1,101,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F101.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F101.jpg,safe_driving
1,1,102,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F102.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F102.jpg,safe_driving
1,1,103,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F103.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F103.jpg,safe_driving
1,1,104,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F104.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F104.jpg,safe_driving
1,1,105,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F105.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F105.jpg,safe_driving
1,1,106,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F106.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F106.jpg,safe_driving
1,1,107,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F107.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F107.jpg,safe_driving
1,1,108,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F108.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F108.jpg,safe_driving
1,1,109,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F109.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F109.jpg,safe_driving
1,1,11,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F11.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F11.jpg,safe_driving
1,1,12,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F12.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F12.jpg,safe_driving
1,1,13,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F13.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F13.jpg,safe_driving
1,1,14,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F14.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F14.jpg,safe_driving
1,1,15,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F15.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F15.jpg,safe_driving
1,1,16,D:\Skripsi\Experiment\data\raw\RGB2\S1\AC1\RGB2_SUB1ACT1F16.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S1\AC1\RGB1_SUB1ACT1F16.jpg,safe_driving
