sample_id,true_label,front_prob_safe,front_prob_phone,side_prob_safe,side_prob_phone,front_confidence,side_confidence,adaptive_weight_front,adaptive_weight_side,average_pred,adaptive_pred,average_correct,adaptive_correct,weight_difference_abs,case_type
S04_AC01_F00001,0,0.63493434,0.36506566,0.4012202,0.5987798,0.13493434,0.0987798,0.50903765,0.49096235,0,0,True,True,0.00903765,front_only_correct
S04_AC01_F00031,0,0.48174608,0.51825392,0.30921704,0.69078296,0.01825392,0.19078296,0.45697441,0.54302559,1,1,False,False,0.04302559,both_wrong
S04_AC01_F00061,0,0.64129886,0.35870114,0.36513609,0.63486391,0.14129886,0.13486391,0.50160873,0.49839127,0,0,True,True,0.00160873,front_only_correct
S04_AC01_F00091,0,0.22645682,0.77354318,0.26145399,0.73854601,0.27354318,0.23854601,0.5087484,0.4912516,1,1,False,False,0.0087484,both_wrong
S04_AC01_F00121,0,0.55461457,0.44538543,0.20481718,0.79518282,0.05461457,0.29518282,0.44014632,0.55985368,1,1,False,False,0.05985368,fusion_broke_front_correct
S04_AC01_F00151,1,0.08706552,0.91293448,0.2825318,0.7174682,0.41293448,0.2174682,0.54871157,0.45128843,1,1,True,True,0.04871157,both_correct
S04_AC05_F00001,1,0.1213904,0.8786096,0.27600962,0.72399038,0.3786096,0.22399038,0.53857798,0.46142202,1,1,True,True,0.03857798,both_correct
S04_AC05_F00031,1,0.14870185,0.85129815,0.25902748,0.74097252,0.35129815,0.24097252,0.52755347,0.47244653,1,1,True,True,0.02755347,both_correct
S04_AC05_F00061,1,0.08708388,0.91291612,0.22207797,0.77792203,0.41291612,0.27792203,0.53369736,0.46630264,1,1,True,True,0.03369736,both_correct
S04_AC05_F00091,1,0.07267958,0.92732042,0.12328833,0.87671167,0.42732042,0.37671167,0.51264949,0.48735051,1,1,True,True,0.01264949,both_correct
S04_AC06_F00001,1,0.29984802,0.70015198,0.17935234,0.82064766,0.20015198,0.32064766,0.46991248,0.53008752,1,1,True,True,0.03008752,both_correct
S04_AC06_F00031,1,0.2362271,0.7637729,0.22023684,0.77976316,0.2637729,0.27976316,0.49600252,0.50399748,1,1,True,True,0.00399748,both_correct
S04_AC06_F00061,1,0.55065599,0.44934401,0.24870038,0.75129962,0.05065599,0.25129962,0.4500067,0.5499933,1,1,True,True,0.0499933,fusion_fixed_front_error
S04_AC07_F00001,1,0.52843985,0.47156015,0.25273752,0.74726248,0.02843985,0.24726248,0.44551159,0.55448841,1,1,True,True,0.05448841,fusion_fixed_front_error
S04_AC07_F00031,1,0.71370465,0.28629535,0.2822721,0.7177279,0.21370465,0.2177279,0.49899419,0.50100581,1,1,True,True,0.00100581,fusion_fixed_front_error
S04_AC07_F00061,1,0.02373987,0.97626013,0.15029401,0.84970599,0.47626013,0.34970599,0.53159637,0.46840363,1,1,True,True,0.03159637,both_correct
S04_AC07_F00091,1,0.03646088,0.96353912,0.21756387,0.78243613,0.46353912,0.28243613,0.54515241,0.45484759,1,1,True,True,0.04515241,both_correct
S04_AC07_F00121,1,0.07917035,0.92082965,0.10460246,0.89539754,0.42082965,0.39539754,0.50635768,0.49364232,1,1,True,True,0.00635768,both_correct
S04_AC08_F00001,1,0.05280679,0.94719321,0.16708887,0.83291113,0.44719321,0.33291113,0.52853946,0.47146054,1,1,True,True,0.02853946,both_correct
S04_AC08_F00031,1,0.02103698,0.97896302,0.21527159,0.78472841,0.47896302,0.28472841,0.54840656,0.45159344,1,1,True,True,0.04840656,both_correct
S04_AC08_F00061,1,0.54847988,0.45152012,0.24493939,0.75506061,0.04847988,0.25506061,0.4485377,0.5514623,1,1,True,True,0.0514623,fusion_fixed_front_error
S04_AC08_F00091,1,0.35672539,0.64327461,0.25561684,0.74438316,0.14327461,0.24438316,0.47474437,0.52525563,1,1,True,True,0.02525563,both_correct
S04_AC08_F00121,1,0.06306547,0.93693453,0.14833331,0.85166669,0.43693453,0.35166669,0.52130405,0.47869595,1,1,True,True,0.02130405,both_correct
S04_AC08_F00151,1,0.44107431,0.55892569,0.20896399,0.79103601,0.05892569,0.29103601,0.44223154,0.55776846,1,1,True,True,0.05776846,both_correct
S04_AC08_F00181,1,0.14727336,0.85272664,0.31058258,0.68941742,0.35272664,0.18941742,0.54073681,0.45926319,1,1,True,True,0.04073681,both_correct
S04_AC09_F00001,1,0.35673398,0.64326602,0.31375545,0.68624455,0.14326602,0.18624455,0.48925702,0.51074298,1,1,True,True,0.01074298,both_correct
S04_AC09_F00031,1,0.23434669,0.76565331,0.16406167,0.83593833,0.26565331,0.33593833,0.48243597,0.51756403,1,1,True,True,0.01756403,both_correct
S04_AC09_F00061,1,0.07702881,0.92297119,0.27822179,0.72177821,0.42297119,0.22177821,0.55012926,0.44987074,1,1,True,True,0.05012926,both_correct
S04_AC09_F00091,1,0.15182358,0.84817642,0.21344358,0.78655642,0.34817642,0.28655642,0.51540013,0.48459987,1,1,True,True,0.01540013,both_correct
S04_AC09_F00121,1,0.17724591,0.82275409,0.11838883,0.88161117,0.32275409,0.38161117,0.48528998,0.51471002,1,1,True,True,0.01471002,both_correct
S04_AC09_F00151,0,0.69281185,0.30718815,0.378492,0.621508,0.19281185,0.121508,0.51781841,0.48218159,0,0,True,True,0.01781841,front_only_correct
S04_AC09_F00181,0,0.33585483,0.66414517,0.46441805,0.53558195,0.16414517,0.03558195,0.53209661,0.46790339,1,1,False,False,0.03209661,both_wrong
S08_AC01_F00001,0,0.32503891,0.67496109,0.34707904,0.65292096,0.17496109,0.15292096,0.50550981,0.49449019,1,1,False,False,0.00550981,both_wrong
S08_AC01_F00031,0,0.32721585,0.67278415,0.359896,0.640104,0.17278415,0.140104,0.50816931,0.49183069,1,1,False,False,0.00816931,both_wrong
S08_AC01_F00061,0,0.25366265,0.74633735,0.19523978,0.80476022,0.24633735,0.30476022,0.48539844,0.51460156,1,1,False,False,0.01460156,both_wrong
S08_AC01_F00091,0,0.1776256,0.8223744,0.29556972,0.70443028,0.3223744,0.20443028,0.5294519,0.4705481,1,1,False,False,0.0294519,both_wrong
S08_AC01_F00121,1,0.19221526,0.80778474,0.52714899,0.47285101,0.30778474,0.02714899,0.56970208,0.43029792,1,1,True,True,0.06970208,front_only_correct
S08_AC01_F00151,1,0.21743929,0.78256071,0.43837345,0.56162655,0.28256071,0.06162655,0.55500996,0.44499004,1,1,True,True,0.05500996,both_correct
S08_AC01_F00181,1,0.35402161,0.64597839,0.39673066,0.60326934,0.14597839,0.10326934,0.51067564,0.48932436,1,1,True,True,0.01067564,both_correct
S08_AC01_F00211,1,0.07581663,0.92418337,0.33984643,0.66015357,0.42418337,0.16015357,0.56562665,0.43437335,1,1,True,True,0.06562665,both_correct
S08_AC05_F00001,1,0.26003063,0.73996937,0.39178652,0.60821348,0.23996937,0.10821348,0.5328914,0.4671086,1,1,True,True,0.0328914,both_correct
S08_AC05_F00031,1,0.32230681,0.67769319,0.47153795,0.52846205,0.17769319,0.02846205,0.5372387,0.4627613,1,1,True,True,0.0372387,both_correct
