split,sample_id,formula,true_label,front_prob_safe,front_prob_phone,side_prob_safe,side_prob_phone,confidence_front,confidence_side,weight_front,weight_side,fused_prob_safe,fused_prob_phone,pred_label
val,S01_AC01_F00001,average_fusion,0,0.67851746,0.32148254,0.54759353,0.45240647,0.5,0.5,0.5,0.5,0.6130555,0.3869445,0
val,S01_AC01_F00031,average_fusion,0,0.64711916,0.35288084,0.54346159,0.45653841,0.5,0.5,0.5,0.5,0.59529038,0.40470962,0
val,S01_AC01_F00061,average_fusion,0,0.59691387,0.40308613,0.57989475,0.42010525,0.5,0.5,0.5,0.5,0.58840431,0.41159569,0
val,S01_AC01_F00091,average_fusion,0,0.69248837,0.30751163,0.58147436,0.41852564,0.5,0.5,0.5,0.5,0.63698137,0.36301863,0
val,S01_AC05_F00001,average_fusion,1,0.17066455,0.82933545,0.4904235,0.5095765,0.5,0.5,0.5,0.5,0.33054402,0.66945598,1
val,S01_AC05_F00031,average_fusion,1,0.26763594,0.73236406,0.48675776,0.51324224,0.5,0.5,0.5,0.5,0.37719685,0.62280315,1
val,S01_AC05_F00061,average_fusion,1,0.1711399,0.8288601,0.39579391,0.60420609,0.5,0.5,0.5,0.5,0.28346691,0.71653309,1
val,S01_AC06_F00001,average_fusion,1,0.048554,0.951446,0.29191679,0.70808321,0.5,0.5,0.5,0.5,0.1702354,0.8297646,1
val,S01_AC06_F00031,average_fusion,1,0.29440004,0.70559996,0.30750668,0.69249332,0.5,0.5,0.5,0.5,0.30095336,0.69904664,1
val,S01_AC06_F00061,average_fusion,1,0.35658914,0.64341086,0.41916943,0.58083057,0.5,0.5,0.5,0.5,0.38787928,0.61212072,1
val,S01_AC06_F00091,average_fusion,1,0.35133362,0.64866638,0.48369378,0.51630622,0.5,0.5,0.5,0.5,0.4175137,0.5824863,1
val,S01_AC07_F00001,average_fusion,1,0.33459806,0.66540194,0.29282415,0.70717585,0.5,0.5,0.5,0.5,0.31371111,0.68628889,1
val,S01_AC07_F00031,average_fusion,1,0.18035942,0.81964058,0.28041667,0.71958333,0.5,0.5,0.5,0.5,0.23038805,0.76961195,1
val,S01_AC07_F00061,average_fusion,1,0.1419605,0.8580395,0.17343062,0.82656938,0.5,0.5,0.5,0.5,0.15769556,0.84230444,1
val,S01_AC07_F00091,average_fusion,1,0.24318343,0.75681657,0.32533288,0.67466712,0.5,0.5,0.5,0.5,0.28425816,0.71574184,1
val,S01_AC08_F00001,average_fusion,1,0.2022413,0.7977587,0.49428904,0.50571096,0.5,0.5,0.5,0.5,0.34826517,0.65173483,1
val,S01_AC08_F00031,average_fusion,1,0.18095696,0.81904304,0.37091947,0.62908053,0.5,0.5,0.5,0.5,0.27593821,0.72406179,1
val,S01_AC08_F00061,average_fusion,1,0.24371243,0.75628757,0.4834218,0.5165782,0.5,0.5,0.5,0.5,0.36356711,0.63643289,1
val,S01_AC08_F00091,average_fusion,1,0.11862838,0.88137162,0.54537871,0.45462129,0.5,0.5,0.5,0.5,0.33200355,0.66799645,1
val,S01_AC09_F00001,average_fusion,1,0.28115386,0.71884614,0.4552753,0.5447247,0.5,0.5,0.5,0.5,0.36821458,0.63178542,1
val,S01_AC09_F00031,average_fusion,1,0.15888745,0.84111255,0.37530893,0.62469107,0.5,0.5,0.5,0.5,0.26709819,0.73290181,1
val,S01_AC09_F00061,average_fusion,1,0.18695241,0.81304759,0.42480898,0.57519102,0.5,0.5,0.5,0.5,0.3058807,0.6941193,1
val,S02_AC01_F00001,average_fusion,0,0.14110088,0.85889912,0.43799675,0.56200325,0.5,0.5,0.5,0.5,0.28954881,0.71045119,1
val,S02_AC01_F00031,average_fusion,0,0.54876789,0.45123211,0.39342874,0.60657126,0.5,0.5,0.5,0.5,0.47109832,0.52890168,1
val,S02_AC01_F00061,average_fusion,0,0.5368236,0.4631764,0.50433934,0.49566066,0.5,0.5,0.5,0.5,0.52058147,0.47941853,0
val,S02_AC01_F00091,average_fusion,0,0.56200248,0.43799752,0.42692453,0.57307547,0.5,0.5,0.5,0.5,0.4944635,0.5055365,1
val,S02_AC01_F00121,average_fusion,0,0.53464293,0.46535707,0.53413516,0.46586484,0.5,0.5,0.5,0.5,0.53438905,0.46561095,0
val,S02_AC05_F00001,average_fusion,1,0.77406563,0.22593437,0.47624755,0.52375245,0.5,0.5,0.5,0.5,0.62515659,0.37484341,0
val,S02_AC05_F00031,average_fusion,1,0.51017526,0.48982474,0.46392202,0.53607798,0.5,0.5,0.5,0.5,0.48704864,0.51295136,1
val,S02_AC05_F00061,average_fusion,1,0.45391482,0.54608518,0.4554261,0.5445739,0.5,0.5,0.5,0.5,0.45467046,0.54532954,1
val,S02_AC05_F00091,average_fusion,1,0.45269608,0.54730392,0.41484332,0.58515668,0.5,0.5,0.5,0.5,0.4337697,0.5662303,1
val,S02_AC05_F00121,average_fusion,1,0.4708029,0.5291971,0.3518669,0.6481331,0.5,0.5,0.5,0.5,0.4113349,0.5886651,1
val,S02_AC05_F00151,average_fusion,1,0.42045677,0.57954323,0.44043976,0.55956024,0.5,0.5,0.5,0.5,0.43044826,0.56955174,1
val,S02_AC05_F00181,average_fusion,1,0.47235471,0.52764529,0.34358537,0.65641463,0.5,0.5,0.5,0.5,0.40797004,0.59202996,1
