sample_id,true_label,front_prob_safe,front_prob_phone,front_pred,side_prob_safe,side_prob_phone,side_pred,average_prob_safe,average_prob_phone,average_pred,adaptive_prob_safe,adaptive_prob_phone,adaptive_pred,front_correct,side_correct,average_correct,adaptive_correct,case_type
S04_AC01_F00001,0,0.25543672,0.74456328,1,0.40338564,0.59661436,1,0.32941118,0.67058882,1,0.32394892,0.67605108,1,False,False,False,False,both_wrong
S04_AC01_F00031,0,0.53583431,0.46416569,0,0.48262334,0.51737666,1,0.50922883,0.49077117,0,0.50947436,0.49052564,0,True,False,True,True,front_only_correct
S04_AC01_F00061,0,0.48139936,0.51860064,1,0.49100143,0.50899857,1,0.48620039,0.51379961,1,0.48617734,0.51382266,1,False,False,False,False,both_wrong
S04_AC01_F00091,0,0.61192259,0.38807741,0,0.50025964,0.49974036,0,0.55609111,0.44390889,0,0.55920503,0.44079497,0,True,True,True,True,both_correct
S04_AC01_F00121,0,0.45991921,0.54008079,1,0.50891671,0.49108329,0,0.48441796,0.51558204,1,0.48403625,0.51596375,1,False,True,False,False,side_only_correct
S04_AC01_F00151,0,0.66930169,0.33069831,0,0.33589804,0.66410196,1,0.50259987,0.49740013,0,0.50303327,0.49696673,0,True,False,True,True,front_only_correct
S04_AC05_F00001,1,0.13777721,0.86222279,1,0.30123425,0.69876575,1,0.21950573,0.78049427,1,0.21284101,0.78715899,1,True,True,True,True,both_correct
S04_AC05_F00031,1,0.54381472,0.45618528,0,0.31579387,0.68420613,1,0.4298043,0.5701957,1,0.42181437,0.57818563,1,False,True,True,True,fusion_fixed_front_error
S04_AC05_F00061,1,0.36820823,0.63179177,1,0.37564915,0.62435085,1,0.37192869,0.62807131,1,0.37191485,0.62808515,1,True,True,True,True,both_correct
S04_AC05_F00091,1,0.45065522,0.54934478,1,0.28571141,0.71428859,1,0.36818331,0.63181669,1,0.36139708,0.63860292,1,True,True,True,True,both_correct
S04_AC06_F00001,1,0.33971429,0.66028571,1,0.31253678,0.68746322,1,0.32612553,0.67387447,1,0.32594089,0.67405911,1,True,True,True,True,both_correct
S04_AC06_F00031,1,0.19844341,0.80155659,1,0.20837289,0.79162711,1,0.20340815,0.79659185,1,0.2033835,0.7966165,1,True,True,True,True,both_correct
S04_AC06_F00061,1,0.2188105,0.7811895,1,0.22219616,0.77780384,1,0.22050333,0.77949667,1,0.22050046,0.77949954,1,True,True,True,True,both_correct
S04_AC07_F00001,1,0.68935779,0.31064221,0,0.2836014,0.7163986,1,0.4864796,0.5135204,1,0.48373677,0.51626323,1,False,True,True,True,fusion_fixed_front_error
S04_AC07_F00031,1,0.09726548,0.90273452,1,0.25519949,0.74480051,1,0.17623249,0.82376751,1,0.17000963,0.82999037,1,True,True,True,True,both_correct
S04_AC07_F00061,1,0.0464164,0.9535836,1,0.19465846,0.80534154,1,0.12053743,0.87946257,1,0.11505354,0.88494646,1,True,True,True,True,both_correct
S04_AC07_F00091,1,0.06506628,0.93493372,1,0.2412833,0.7587167,1,0.15317479,0.84682521,1,0.1454317,0.8545683,1,True,True,True,True,both_correct
S04_AC07_F00121,1,0.12079024,0.87920976,1,0.22412086,0.77587914,1,0.17245555,0.82754445,1,0.16978862,0.83021138,1,True,True,True,True,both_correct
S04_AC08_F00001,1,0.34734416,0.65265584,1,0.34284598,0.65715402,1,0.34509507,0.65490493,1,0.34509001,0.65490999,1,True,True,True,True,both_correct
S04_AC08_F00031,1,0.37302947,0.62697053,1,0.36772543,0.63227457,1,0.37037745,0.62962255,1,0.37037042,0.62962958,1,True,True,True,True,both_correct
S04_AC08_F00061,1,0.53778601,0.46221399,0,0.17850775,0.82149225,1,0.35814688,0.64185312,1,0.33283406,0.66716594,1,False,True,True,True,fusion_fixed_front_error
S04_AC08_F00091,1,0.44355971,0.55644029,1,0.34155011,0.65844989,1,0.39255491,0.60744509,1,0.38995567,0.61004433,1,True,True,True,True,both_correct
S04_AC08_F00121,1,0.36630541,0.63369459,1,0.53814557,0.46185443,0,0.45222549,0.54777451,1,0.44812382,0.55187618,1,True,False,True,True,front_only_correct
S04_AC08_F00151,1,0.05866182,0.94133818,1,0.33430934,0.66569066,1,0.19648558,0.80351442,1,0.17760956,0.82239044,1,True,True,True,True,both_correct
S04_AC08_F00181,1,0.07173544,0.92826456,1,0.26290011,0.73709989,1,0.16731778,0.83268222,1,0.15820952,0.84179048,1,True,True,True,True,both_correct
S04_AC09_F00001,1,0.56971791,0.43028209,0,0.50447711,0.49552289,0,0.53709751,0.46290249,0,0.53816123,0.46183877,0,False,False,False,False,both_wrong
S04_AC09_F00031,1,0.14690912,0.85309088,1,0.2944048,0.7055952,1,0.22065696,0.77934304,1,0.21522806,0.78477194,1,True,True,True,True,both_correct
S04_AC09_F00061,1,0.0759027,0.9240973,1,0.31130445,0.68869555,1,0.19360358,0.80639642,1,0.1798137,0.8201863,1,True,True,True,True,both_correct
S04_AC09_F00091,1,0.13729066,0.86270934,1,0.45385349,0.54614651,1,0.29557207,0.70442793,1,0.27072621,0.72927379,1,True,True,True,True,both_correct
S04_AC09_F00121,1,0.04124421,0.95875579,1,0.28254223,0.71745777,1,0.16189322,0.83810678,1,0.14740725,0.85259275,1,True,True,True,True,both_correct
S04_AC09_F00151,1,0.05518055,0.94481945,1,0.4116832,0.5883168,1,0.23343188,0.76656812,1,0.20199064,0.79800936,1,True,True,True,True,both_correct
S04_AC09_F00181,1,0.17806208,0.82193792,1,0.36881971,0.63118029,1,0.2734409,0.7265591,1,0.26437126,0.73562874,1,True,True,True,True,both_correct
S08_AC01_F00001,0,0.70750961,0.29249039,0,0.33853906,0.66146094,1,0.52302434,0.47697566,0,0.52727124,0.47272876,0,True,False,True,True,front_only_correct
S08_AC01_F00031,0,0.65758097,0.34241903,0,0.43523628,0.56476372,1,0.54640862,0.45359138,0,0.55156428,0.44843572,0,True,False,True,True,front_only_correct
S08_AC01_F00061,0,0.80908348,0.19091652,0,0.41153479,0.58846521,1,0.61030913,0.38969087,0,0.63214725,0.36785275,0,True,False,True,True,front_only_correct
S08_AC01_F00091,0,0.61227685,0.38772315,0,0.36133498,0.63866502,1,0.48680592,0.51319408,1,0.48515054,0.51484946,1,True,False,False,False,fusion_broke_front_correct
S08_AC01_F00121,0,0.31415433,0.68584567,1,0.34621561,0.65378439,1,0.33018497,0.66981503,1,0.32992801,0.67007199,1,False,False,False,False,both_wrong
S08_AC01_F00151,0,0.26583391,0.73416609,1,0.40139186,0.59860814,1,0.33361289,0.66638711,1,0.32902592,0.67097408,1,False,False,False,False,both_wrong
S08_AC01_F00181,0,0.39677244,0.60322756,1,0.42352217,0.57647783,1,0.41014731,0.58985269,1,0.40996843,0.59003157,1,False,False,False,False,both_wrong
S08_AC01_F00211,0,0.22063917,0.77936083,1,0.26628494,0.73371506,1,0.24346206,0.75653794,1,0.24294126,0.75705874,1,False,False,False,False,both_wrong
S08_AC05_F00001,1,0.58295131,0.41704869,0,0.49279344,0.50720656,1,0.53787237,0.46212763,0,0.5395788,0.4604212,0,False,True,False,False,side_only_correct
S08_AC05_F00031,1,0.34613949,0.65386051,1,0.29015267,0.70984733,1,0.31814608,0.68185392,1,0.31736265,0.68263735,1,True,True,True,True,both_correct
S08_AC05_F00061,1,0.16219544,0.83780456,1,0.34131849,0.65868151,1,0.25175697,0.74824303,1,0.24375708,0.75624292,1,True,True,True,True,both_correct
S08_AC05_F00091,1,0.19533813,0.80466187,1,0.3615182,0.6384818,1,0.27842817,0.72157183,1,0.27154006,0.72845994,1,True,True,True,True,both_correct
S08_AC05_F00121,1,0.13830632,0.86169368,1,0.39790934,0.60209066,1,0.26810783,0.73189217,1,0.25135339,0.74864661,1,True,True,True,True,both_correct
