sample_id,case_type,selection_rank,priority_score,subject_id,activity_id,frame,binary_label,true_label,true_label_name,front_pred,side_pred,average_pred,adaptive_pred,front_prob_phone,side_prob_phone,average_prob_phone,adaptive_prob_phone,front_correct,side_correct,average_correct,adaptive_correct,filepath_front,filepath_side
S04_AC01_F00061,both_wrong,1,-0.027599209999999985,4,1,61,safe_driving,0,safe_driving,1,1,1,1,0.51860064,0.50899857,0.51379961,0.51382266,False,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S4\AC1\RGB2_SUB4ACT1F61.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S4\AC1\RGB1_SUB4ACT1F61.jpg
S04_AC09_F00001,both_wrong,2,-0.07419502,4,9,1,phone_use,1,phone_use,0,0,0,0,0.43028209,0.49552289,0.46290249,0.46183877,False,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S4\AC9\RGB2_SUB4ACT9F1.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S4\AC9\RGB1_SUB4ACT9F1.jpg
S08_AC01_F00181,both_wrong,3,-0.17970538999999996,8,1,181,safe_driving,0,safe_driving,1,1,1,1,0.60322756,0.57647783,0.58985269,0.59003157,False,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S8\AC1\RGB2_SUB8ACT1F181.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S8\AC1\RGB1_SUB8ACT1F181.jpg
S11_AC01_F00121,both_wrong,4,-0.19972711999999992,11,1,121,safe_driving,0,safe_driving,1,1,1,1,0.66414517,0.53558195,0.59986356,0.60399,False,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S11\AC1\RGB2_SUB11ACT1F121.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S11\AC1\RGB1_SUB11ACT1F121.jpg
S10_AC01_F00121,both_wrong,5,-0.20903687999999998,10,1,121,safe_driving,0,safe_driving,1,1,1,1,0.51825392,0.69078296,0.60451844,0.61194161,False,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S10\AC1\RGB2_SUB10ACT1F121.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S10\AC1\RGB1_SUB10ACT1F121.jpg
S17_AC01_F00001,fusion_broke_front_correct,1,0.40282448,17,1,1,safe_driving,0,safe_driving,0,1,1,1,0.47906098,0.77685577,0.62795837,0.64690773,True,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S17\AC1\RGB2_SUB17ACT1F1.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S17\AC1\RGB1_SUB17ACT1F1.jpg
S10_AC01_F00091,fusion_broke_front_correct,2,0.38178903999999997,10,1,91,safe_driving,0,safe_driving,0,1,1,1,0.44538543,0.79518282,0.62028413,0.64122079,True,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S10\AC1\RGB2_SUB10ACT1F91.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S10\AC1\RGB1_SUB10ACT1F91.jpg
S17_AC01_F00151,fusion_broke_front_correct,3,0.21819515,17,1,151,safe_driving,0,safe_driving,0,1,1,1,0.40592602,0.73204976,0.56898789,0.58021937,True,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S17\AC1\RGB2_SUB17ACT1F151.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S17\AC1\RGB1_SUB17ACT1F151.jpg
S17_AC01_F00031,fusion_broke_front_correct,4,0.14785594000000002,17,1,31,safe_driving,0,safe_driving,0,1,1,1,0.48092353,0.61548656,0.54820505,0.55144585,True,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S17\AC1\RGB2_SUB17ACT1F31.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S17\AC1\RGB1_SUB17ACT1F31.jpg
S08_AC01_F00091,fusion_broke_front_correct,5,0.041237630000000025,8,1,91,safe_driving,0,safe_driving,0,1,1,1,0.38772315,0.63866502,0.51319408,0.51484946,True,False,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S8\AC1\RGB2_SUB8ACT1F91.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S8\AC1\RGB1_SUB8ACT1F91.jpg
