gamma,class_weight_safe,class_weight_phone,best_epoch,train_loss_best,val_loss_best,loss_gap,side_macro_f1,side_confusion_matrix,side_safe_recall,side_phone_recall,side_safe_to_phone,side_phone_to_safe,fusion_macro_f1,fusion_accuracy,fusion_confusion_matrix,fusion_safe_to_phone,fusion_phone_to_safe,fusion_reaches_0_80
0.25,1.3247125148773193,0.8789787292480469,1,0.5797065198421478,0.5214255446195603,-0.05828097522258757,0.45,"[[0, 40], [0, 180]]",0.0,1.0,40,0,0.56681,0.84091,"[[5, 35], [0, 180]]",35,0,False
0.5,1.7548633813858032,0.7726035714149475,8,0.455485156991265,0.5014323869016435,0.04594722991037847,0.64349,"[[13, 27], [13, 167]]",0.325,0.9277777777777778,27,13,0.77992,0.88636,"[[21, 19], [6, 174]]",19,6,False
0.75,2.3246896266937256,0.6791021227836609,5,0.5870793714667811,0.6042775905132294,0.01719821904644825,0.58696,"[[9, 31], [13, 167]]",0.225,0.9277777777777778,31,13,0.77436,0.88636,"[[20, 20], [5, 175]]",20,5,False
0.85,2.6014387607574463,0.6449505686759949,5,0.6038872373826576,0.6203814865483178,0.016494249165660224,0.62212,"[[13, 27], [18, 162]]",0.325,0.9,27,18,0.77327,0.87727,"[[22, 18], [9, 171]]",18,9,False
0.9,2.7519335746765137,0.6285243034362793,5,0.6178855986306162,0.6344974974791209,0.01661189884850467,0.57535,"[[18, 22], [45, 135]]",0.45,0.75,22,45,0.77256,0.87273,"[[23, 17], [11, 169]]",17,11,False
0.93,2.8463778495788574,0.6188700795173645,5,0.6213675692225947,0.6370858221583896,0.015718252935794874,0.57397,"[[19, 21], [48, 132]]",0.475,0.7333333333333333,21,48,0.78301,0.87727,"[[24, 16], [11, 169]]",16,11,False
0.94,2.8785741329193115,0.6156851053237915,5,0.6224688734069015,0.637834857304891,0.015365983897989488,0.56706,"[[19, 21], [50, 130]]",0.475,0.7222222222222222,21,50,0.78301,0.87727,"[[24, 16], [11, 169]]",16,11,False
0.95,2.911134719848633,0.612516462802887,5,0.6235152636513566,0.6385576539569431,0.015042390305586517,0.55346,"[[19, 21], [54, 126]]",0.475,0.7,21,54,0.79323,0.88182,"[[25, 15], [11, 169]]",15,11,False
0.96,2.944063425064087,0.6093641519546509,14,0.5311340644504084,0.5836196989483303,0.052485634497921874,0.58393,"[[24, 16], [57, 123]]",0.6,0.6833333333333333,16,57,0.77629,0.86818,"[[25, 15], [14, 166]]",15,14,False
0.97,2.9773645401000977,0.6062280535697937,8,0.578871485861865,0.6128609851996104,0.03398949933774542,0.56805,"[[22, 18], [57, 123]]",0.55,0.6833333333333333,18,57,0.78184,0.87273,"[[25, 15], [13, 167]]",15,13,False
0.98,3.011042594909668,0.6031081080436707,8,0.5796154475573337,0.6134218962987265,0.033806448741392714,0.56113,"[[22, 18], [59, 121]]",0.55,0.6722222222222223,18,59,0.79172,0.87727,"[[26, 14], [13, 167]]",14,13,False
