method,threshold,accuracy,precision_macro,recall_macro,macro_f1,balanced_accuracy,roc_auc,pr_auc,mcc,cohen_kappa,tn,fp,fn,tp,safe_to_phone,phone_to_safe,predicted_safe,predicted_phone,different_vs_average,different_vs_softmax,different_vs_linear
average_fusion,0.30,0.82273,0.91096,0.5125,0.47552,0.5125,0.86556,0.96293,0.14335,0.04027,1,39,0,180,39,0,1,219,0,0,1
adaptive_softmax,0.30,0.82273,0.91096,0.5125,0.47552,0.5125,0.87056,0.9653,0.14335,0.04027,1,39,0,180,39,0,1,219,0,0,1
adaptive_linear_normalization,0.30,0.82727,0.91284,0.525,0.49988,0.525,0.87694,0.96921,0.20319,0.0793,2,38,0,180,38,0,2,218,1,1,0
average_fusion,0.35,0.82273,0.91096,0.5125,0.47552,0.5125,0.86556,0.96293,0.14335,0.04027,1,39,0,180,39,0,1,219,0,0,2
adaptive_softmax,0.35,0.82273,0.91096,0.5125,0.47552,0.5125,0.87056,0.9653,0.14335,0.04027,1,39,0,180,39,0,1,219,0,0,2
adaptive_linear_normalization,0.35,0.83182,0.91475,0.5375,0.52317,0.5375,0.87694,0.96921,0.24942,0.11714,3,37,0,180,37,0,3,217,2,2,0
average_fusion,0.40,0.84091,0.9186,0.5625,0.56681,0.5625,0.86556,0.96293,0.3235,0.18947,5,35,0,180,35,0,5,215,0,0,3
adaptive_softmax,0.40,0.84091,0.9186,0.5625,0.56681,0.5625,0.87056,0.9653,0.3235,0.18947,5,35,0,180,35,0,5,215,0,0,3
adaptive_linear_normalization,0.40,0.85455,0.92453,0.6,0.62585,0.6,0.87694,0.96921,0.41208,0.29032,8,32,0,180,32,0,8,212,3,3,0
average_fusion,0.45,0.86364,0.92857,0.625,0.66154,0.625,0.86556,0.96293,0.46291,0.35294,10,30,0,180,30,0,10,210,0,1,4
adaptive_softmax,0.45,0.86818,0.93062,0.6375,0.67841,0.6375,0.87056,0.9653,0.48666,0.38298,11,29,0,180,29,0,11,209,1,0,3
adaptive_linear_normalization,0.45,0.86364,0.86061,0.64444,0.68336,0.64444,0.87694,0.96921,0.45646,0.38662,12,28,2,178,28,2,14,206,4,3,0
average_fusion,0.50,0.89091,0.86565,0.73889,0.78059,0.73889,0.86556,0.96293,0.5911,0.56579,20,20,4,176,20,4,24,196,0,0,0
adaptive_softmax,0.50,0.89091,0.86565,0.73889,0.78059,0.73889,0.87056,0.9653,0.5911,0.56579,20,20,4,176,20,4,24,196,0,0,0
adaptive_linear_normalization,0.50,0.89091,0.86565,0.73889,0.78059,0.73889,0.87694,0.96921,0.5911,0.56579,20,20,4,176,20,4,24,196,0,0,0
average_fusion,0.55,0.86818,0.77908,0.77361,0.77629,0.77361,0.86556,0.96293,0.55266,0.55259,25,15,14,166,15,14,39,181,0,2,4
adaptive_softmax,0.55,0.86818,0.78061,0.76389,0.77174,0.76389,0.87056,0.9653,0.54424,0.54363,24,16,13,167,16,13,37,183,2,0,2
adaptive_linear_normalization,0.55,0.86818,0.78263,0.75417,0.76694,0.75417,0.87694,0.96921,0.53604,0.53431,23,17,12,168,17,12,35,185,4,2,0
average_fusion,0.60,0.85,0.75063,0.79167,0.7676,0.79167,0.86556,0.96293,0.54074,0.5364,28,12,21,159,12,21,49,171,0,1,7
adaptive_softmax,0.60,0.84545,0.74346,0.77917,0.75852,0.77917,0.87056,0.9653,0.5214,0.51804,27,13,21,159,13,21,48,172,1,0,6
adaptive_linear_normalization,0.60,0.86364,0.7702,0.78056,0.77517,0.78056,0.87694,0.96921,0.55066,0.55041,26,14,16,164,14,16,42,178,7,6,0
