split,method,threshold,accuracy,precision_macro,recall_macro,macro_f1,safe_to_phone,phone_to_safe,confusion_matrix
validation,average_fusion,0.01,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.02,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.03,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.04,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.05,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.06,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.07,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.08,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.09,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.1,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.11,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.12,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.13,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.14,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.15,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.16,0.85333,0.92634,0.51471,0.48881,33,0,"[[1, 33], [0, 191]]"
validation,average_fusion,0.17,0.85778,0.92825,0.52941,0.51691,32,0,"[[2, 32], [0, 191]]"
validation,average_fusion,0.18,0.86222,0.93018,0.54412,0.54355,31,0,"[[3, 31], [0, 191]]"
validation,average_fusion,0.19,0.85778,0.80486,0.5415,0.54011,31,1,"[[3, 31], [1, 190]]"
validation,average_fusion,0.2,0.86222,0.83182,0.55621,0.56485,30,1,"[[4, 30], [1, 190]]"
validation,average_fusion,0.21,0.87111,0.82639,0.59771,0.62716,27,2,"[[7, 27], [2, 189]]"
